U_ID,Name,GradeLevel_id,Subject_id,StartDate,EndDate,enabled
1486,Christmas Mural,2,1,2013-12-10,2013-12-17,1
1643,Lines: Harold and the Purple Crayon,2,1,2013-09-17,2013-10-01,1
1666,The Use of Materials,2,1,2013-09-16,2014-06-06,1
1669,Birds,2,1,2014-01-10,2014-04-11,1
1106,Using Passions to Engage in Books,2,3,2012-10-01,2012-11-30,1
1442,Nursery Rhymes and Poems,2,3,2013-09-30,2014-05-30,1
1553,Letter/Sound/Words,2,3,2013-09-23,2013-05-30,1
1584,Rhyming,2,4,2013-10-14,2014-06-01,1
1585,Self Regulation,2,4,2013-09-23,2013-05-30,1
1342,Autumn,2,5,2013-09-20,2013-11-22,1
1528,Shapes and Colors,2,5,2013-09-09,2013-09-30,1
1113,Measurement,2,6,2013-09-30,2014-05-30,1
1413,Calendar,2,6,2013-09-12,2014-06-03,1
1583,Sorting,2,6,2012-10-15,2014-06-01,1
1602,Plane Shapes,2,6,2013-09-30,2014-05-30,1
1218,Gross Motor,2,8,2013-09-05,2013-09-27,1
1221,Christmas Games,2,8,2013-12-02,2013-12-20,1
1628,Lent,2,9,2014-03-05,2014-04-20,1
1028,Plants,2,10,2012-04-09,2012-04-20,1
1030,Birds,2,10,2011-12-01,2012-06-01,1
1102,Our Solar System,2,10,2012-05-21,2012-06-01,1
1373,Magnets,2,10,2014-01-13,2014-01-17,1
1384,Polar Pals,2,10,2012-01-20,2012-01-30,1
1556,bugs,2,10,2013-04-29,2013-05-14,1
1605,Five Senses,2,10,2013-12-09,2014-04-18,1
1408,Presidents,2,11,2013-02-16,2013-02-22,1
1440,All About Me,2,11,2013-09-09,2013-09-23,1
1441,School Rules and Class Routines,2,11,2013-09-03,2013-06-04,1
1466,Family,2,11,2013-11-04,2013-11-30,1
1500,Christmas/Winter Holidays Dec.,2,11,2013-12-02,2013-12-20,1
1601,Christopher Columbus,2,11,2013-10-07,2013-10-14,1
1615,Community Helpers,2,11,2013-03-04,2013-03-15,1
1345,Getting to know my teacher and a new environment.,2,12,2013-09-10,2013-10-18,1
1367,Los números y los colores,2,12,2013-10-23,2013-12-13,1
1385,My body. My age.,2,12,2014-01-06,2014-03-28,1
1402,My basic family and my pets,2,12,2014-04-01,2014-06-10,1
1062,Thinking and Working as Artists: Discovering Materials,3,1,2011-09-08,2012-09-14,1
1103,Dinosaurs,3,1,2013-02-18,2013-03-08,1
1457,Dinosaurs,3,1,2013-09-01,2014-06-01,1
1463,Illustration: Where the Wild Things Are,3,1,2013-10-15,2013-11-22,1
1629,Three Dimension ,3,1,2013-09-23,2013-09-30,1
1644,Marshmallow Sculpture,3,1,2013-10-15,2013-10-29,1
1646,Art Materials,3,1,2013-09-17,2013-11-15,1
1667,Working as Artists,3,1,2013-09-16,2014-06-09,1
1668,Clay,3,1,2014-04-07,2014-05-05,1
1340,Writing: Becoming a Community of Writers,3,3,2013-09-01,2013-10-11,1
1347,writing: Once Upon a Time/Fiction,3,3,2013-12-02,2014-01-31,1
1349,Writing: Nonfiction ,3,3,2014-02-03,2014-03-14,1
1364,Library: Who Am I?,3,3,2013-09-09,2013-10-31,1
1372,Library: Book Care Rules,3,3,2013-09-16,2013-09-20,1
1374,Writing: Poetry,3,3,2014-04-01,2014-05-09,1
1409,Reading: Building a Community of Readers,3,3,2013-09-10,2013-11-22,1
1429,Library: Classroom Rules,3,3,2013-09-09,2013-09-20,1
1480,Reading: Once Upon a Time,3,3,2013-12-02,2013-12-20,1
1487,Reading: Nonfiction,3,3,2014-02-03,2014-03-14,1
1488,Reading: Author study,3,3,2014-01-06,2014-01-31,1
1512,Reading: Poetry,3,3,2014-03-31,2014-05-02,1
1606,Spelling,3,3,2013-09-09,2014-06-06,1
1481,Math: Once upon a Time,3,6,2013-12-02,2013-12-20,1
1235,Cooperative Learning,3,8,2013-09-05,2013-09-27,1
1033,Dinosaurs,3,10,2014-01-27,2014-03-02,1
1036,Trees,3,10,2011-09-14,2012-06-01,1
1509,Weather,3,10,2013-09-04,2014-05-30,1
1511,Growth,3,10,2014-04-30,2014-06-06,1
1034,Australia,3,11,2014-03-31,2012-04-27,1
1390,Maps,3,11,2014-03-03,2014-03-14,1
1505,Getting to Know you,3,11,2013-09-04,2013-10-07,1
1506,Family Holiday Traditions,3,11,2013-11-11,2013-12-20,1
1437,Getting to know my teacher and a new environment.,3,12,2013-09-09,2013-10-10,1
1063,Foundations of Art,4,1,2011-09-08,2011-09-30,1
1089,We Belong Together: Expressing Moods and Feelings,4,1,2014-09-16,2013-10-01,1
1464,Egyptian Art,4,1,2014-02-10,2014-03-04,1
1492,Mechanimals,4,1,2013-12-04,2013-12-11,1
1494,Paul Klee's Cat and Bird,4,1,2014-01-14,2014-01-28,1
1495,Faith Ringgold,4,1,2014-02-04,2014-02-11,1
1631,People and Places: Seeing Details and  Actions,4,1,2013-10-21,2014-12-19,1
1633,Colorful Stories: Color and Imagination,4,1,2014-01-07,2014-03-11,1
1634,Colorful Stories: Color and Imagination,4,1,2014-02-18,2014-04-01,1
1635,Colorful Stories: Color and Imagination,4,1,2014-02-18,2014-04-01,1
1642,Sequencing and Books,4,1,2014-04-01,2014-04-29,1
1645,Looking Around Us: Seeing Our World ,4,1,2013-09-09,2013-10-14,1
1665,Getting Ideas: Art and Nature,4,1,2014-02-03,2014-06-09,1
1356,Alliteration,4,3,2013-09-01,2014-06-01,1
1368,Personification,4,3,2013-09-01,2014-06-01,1
1430,writing process--What do I Write?,4,3,2013-09-09,2014-06-01,1
1555,Opinion Writing,4,3,2014-02-03,2014-02-14,1
1569,Opinion Writing,4,3,2014-02-03,2014-02-14,1
1572,Using transitional words in Writing,4,3,2014-01-07,2014-01-21,1
1586,Writing a Friendly Letter,4,3,2014-02-11,2014-06-01,1
1587,Character Traits,4,3,2013-09-01,2014-06-01,1
1271,Unit 6 Developing Fact Power,4,6,2013-01-21,2013-02-11,1
1073,Intro. to Music Literacy: Beat/Rhythm,4,7,2011-09-08,2011-12-16,1
1651,Music Literacy: Pitch and Solfege,4,7,2013-10-01,2013-12-20,1
1652,"Instruments: Rhythm, Orff, & Boomwhackers",4,7,2013-11-04,2014-04-30,1
1653,The 5-line Staff,4,7,2013-11-11,2014-04-30,1
1654,1st Grade Music End of Year Review,4,7,2014-05-05,2014-06-06,1
1222,Christmas Games,4,8,2013-12-02,2013-12-20,1
1039,Solids & Liquids: Bits and Pieces,4,10,2011-12-01,2011-12-09,1
1040,Liquids,4,10,2011-11-03,2011-11-24,1
1041,Solids,4,10,2011-10-06,2011-10-28,1
1117,Solids,4,10,2012-11-01,2011-11-30,1
1260,Insects,4,10,2013-04-01,2013-05-17,1
1038,The Community,4,11,2011-09-01,2011-10-31,1
1365,Geography,4,11,2013-09-01,2014-06-01,1
1612,Ancient Egypt,4,11,2014-01-13,2014-03-14,1
1071,Community: School,4,12,2012-09-03,2012-09-30,1
1072,Community: House,4,12,2012-10-10,2012-10-30,1
1075,Community: Market,4,12,2012-11-02,2012-11-30,1
1655,Navidad and weather,4,12,2012-12-03,2014-01-24,1
1657,Nature ,5,1,2013-09-01,2014-06-01,1
1659,Expressing Moods and Feelings,5,1,2013-09-01,2014-06-01,1
1660,Nature: Subject Matter,5,1,2013-09-01,2014-06-01,1
1661,Picture Stories,5,1,2013-09-01,2014-06-01,1
1662,Space and Movement,5,1,2013-09-01,2014-06-01,1
1467,Spelling,5,2,2013-09-03,2014-06-06,1
1268,The Use of Verbs,5,3,2012-11-01,2012-11-30,1
1274,The Use of Similes,5,3,2012-12-03,2012-12-21,1
1275,The Use of Possessives,5,3,2013-03-01,2013-03-15,1
1276,The Use of Nouns,5,3,2012-10-01,2012-10-31,1
1277,Homophones,5,3,2013-04-01,2013-04-30,1
1278,Contractions,5,3,2013-01-07,2013-01-31,1
1279,The Use of Commas,5,3,2012-09-04,2012-09-28,1
1280,The Use of Adjectives,5,3,2012-12-03,2012-12-20,1
1286,Choosing Just Right Books,5,3,2013-09-03,2013-09-30,1
1287,Monitoring for Meaning,5,3,2013-09-01,2014-06-01,1
1288,Decoding Skills/ Phonics,5,3,2013-09-01,2014-06-01,1
1289,Story Elements,5,3,2013-09-03,2013-10-16,1
1290,Non-fiction Elements,5,3,2014-02-10,2013-03-15,1
1291,Making Connections,5,3,1899-12-30,2014-06-01,1
1293,Asking Questions,5,3,2013-09-01,2014-06-01,1
1294,Inferences,5,3,2014-02-03,2014-02-14,1
1295,Visualization,5,3,2013-12-02,2013-12-20,1
1473,Wilson,5,3,2013-09-03,2014-06-06,1
1232,Halloween ,5,8,2013-10-14,2013-10-31,1
1498,Reconciliation,5,9,2013-09-01,2014-06-01,1
1499,Eucharist,5,9,2013-09-01,2014-06-01,1
1045,Stems,5,10,2012-03-26,2012-05-31,1
1046,Grass & Green Seeds,5,10,2012-03-28,2012-05-31,1
1047,Brassica Seeds,5,10,2014-03-24,2014-05-23,1
1048,Balance & Motion,5,10,2012-01-04,2012-03-14,1
1251,Exploring Air,5,10,2012-09-06,2012-10-05,1
1258,Observing the Weather,5,10,2012-10-08,2012-10-19,1
1259,Wind Exploration,5,10,2012-11-23,2012-12-21,1
1044,China,5,11,2012-01-03,2012-02-03,1
1249,Black History Month,5,11,2013-02-01,2013-02-28,1
1262,African Folktales,5,11,2013-09-23,2013-10-25,1
1296,Antarctica &Penguins,5,11,2013-02-11,2013-04-01,1
1297,Ocean Habitats,5,11,2013-04-02,2013-05-24,1
1346,Africa,5,11,2013-09-23,2013-10-25,1
1053,Bunnicula Guided Reading,6,3,2011-10-03,2011-11-03,1
1055,First Twenty Days of School,6,3,2011-09-08,2011-10-03,1
1361,Author Study- Raold Dahl,6,3,2014-02-17,2014-02-21,1
1363,"JGB ""The Monster Who Grew Small""",6,3,2013-11-04,2013-08-09,1
1370,Literature circles,6,3,2013-11-18,2013-12-07,1
1382,"JGB - ""Fire On the Mountain""",6,3,2013-11-27,2013-11-30,1
1386,JGB-The Master Cat,6,3,2013-02-10,2014-02-14,1
1389,Guided Reading- Medieval Theme,6,3,2014-01-20,2014-02-07,1
1400,Guided Reading - Charlotte's Web,6,3,2014-02-24,2013-09-06,1
1406,Guided Reading- One Day in The Rainforest,6,3,2013-09-01,2014-06-01,1
1460,JGB- The Green Man,6,3,2014-04-01,2013-12-06,1
1472,Guided Reading,6,3,2014-04-07,2014-04-25,1
1049,Unit 1,6,6,2011-09-07,2011-09-26,1
1101,"Routines, Review, & Assessment",6,6,2011-09-12,2011-10-04,1
1109,Adding and Subtracting Whole Number,6,6,2011-10-05,2011-10-26,1
1530,Seek and Serve God,6,9,2013-09-01,2014-06-01,1
1531,Think Imagine and Create,6,9,2013-09-01,2014-06-01,1
1532,Serve Others,6,9,2013-09-01,2014-06-01,1
1533,Share and Cooperate,6,9,2013-09-01,2014-06-01,1
1534,Goal 5,6,9,2013-09-01,2014-06-01,1
1050,Rocks and Minerals:  Mock Rocks (Investigation 1/4),6,10,2008-09-15,2013-11-30,1
1610,Physics of Sound,6,10,2014-01-07,2014-03-14,1
1620,Rainforest,6,10,2014-04-01,2014-06-06,1
1057,Foundations of Art,7,1,2011-09-08,2011-09-30,1
1471,Poetry,7,2,2013-09-01,2014-06-01,1
1223,Note Taking,7,3,2013-01-05,2013-03-31,1
1234,Reading Journal Letters,7,3,2012-10-01,2013-05-30,1
1237,Read & Think/ Independent Reading,7,3,2012-09-04,2012-11-20,1
1613,Knucklehead,7,3,2013-10-07,2013-11-15,1
1618,Battle writing,7,3,2014-03-03,2014-04-11,1
1231,Historical Fiction Book Clubs,7,5,2013-01-07,2013-03-30,1
1336,Intro to Notebooking,7,5,2013-09-04,2014-06-04,1
1348,Intro to notebooking,7,5,2013-09-05,2014-06-05,1
1359,Geography,7,5,2013-09-05,2013-11-10,1
1377,Geography,7,5,2013-09-05,2013-11-11,1
1376,Recorder Basics,7,7,2013-10-01,2013-12-20,1
1395,Intermediate Recorder Technique and Repertoire,7,7,2014-01-06,2014-05-30,1
1397,Music and the American Revolution,7,7,2014-01-06,2014-02-28,1
1401,4th Grade Music Theory and Repertoire - 1st Semester,7,7,2013-09-04,2013-12-20,1
1433,4th Grade Music Theory and Repertoire,7,7,2014-01-06,2014-05-30,1
1444,Flag Football,7,8,2013-09-04,2013-10-04,1
1446,Indoor Soccer,7,8,2013-10-07,2013-10-25,1
1577,Pickle Ball,7,8,2013-10-28,2013-11-29,1
1580,Floor Hockey,7,8,2013-12-02,2013-12-20,1
1626,Basketball,7,8,2014-01-06,2014-01-31,1
1105,Inventions,7,10,2012-04-02,2012-05-29,1
1246,Water,7,10,2012-09-04,2012-11-30,1
1469,Human Body,7,10,2014-04-07,2014-05-23,1
1474,Human BodyType your Unit Title,7,10,2014-04-07,2014-05-23,1
1575,Magnetism & Electricity,7,10,2014-02-03,2014-05-02,1
1056,American Revolution,7,11,2012-01-04,2012-03-16,1
1244,Lenape Native Americans,7,11,2012-09-30,2012-10-30,1
1255,The Colonial Fair Experience,7,11,2012-11-05,2012-12-17,1
1138,FOUNDATIONS,8,1,2011-09-10,2014-06-01,1
1081,Number The Stars,8,2,2013-10-29,2013-11-16,1
1082,A Single Shard,8,2,2013-01-16,2013-02-14,1
1083,The Personal Essay,8,2,2014-05-01,2014-05-24,1
1122,Hatchet,8,2,2012-04-23,2012-05-18,1
1229,Beowulf,8,2,2012-10-01,2012-11-05,1
1236,Traditional Literature,8,2,2012-09-10,2012-10-01,1
1250,Spelling,8,2,2012-09-04,2013-06-04,1
1343,Writing: Personal Narrative,8,2,2013-09-07,2013-10-09,1
1412,Expanded Paragraphs,8,2,2013-09-09,2014-06-03,1
1416,Grammar,8,2,2013-09-09,2014-06-09,1
1524,Poetry,8,2,2014-04-01,2014-04-30,1
1538,Creative Writing,8,2,2014-01-10,2014-01-24,1
1623,Short Stories and Jr. Great Books,8,2,2014-02-18,2014-03-13,1
1624,Shiloh,8,2,2014-03-17,2014-04-18,1
1625,Biography Book Report,8,2,2014-01-07,2014-01-31,1
1598,Tobacco/Smoking,8,4,2014-01-15,2014-01-15,1
1599,Alcohol,8,4,2014-01-22,2014-01-22,1
1600,Drugs,8,4,2014-01-29,2014-01-29,1
